Name                                               Project              Compat              Latest               Kind         Platform
jni->log                                           0.4.29               0.4.32              0.4.32               Normal       ---
jni->thiserror                                     1.0.69               2.0.18              2.0.18               Normal       ---
jni->windows-sys                                   0.45.0               Removed             Removed              Normal       cfg(windows)
jni-macros->quote                                  1.0.40               1.0.45              1.0.45               Normal       ---
jni-macros->syn                                    2.0.114              2.0.117             2.0.117              Normal       ---
jni-sys-macros->quote                              1.0.40               1.0.45              1.0.45               Normal       ---
jni-sys-macros->syn                                2.0.114              2.0.117             2.0.117              Normal       ---
jobserver->libc                                    0.2.183              0.2.186             0.2.186              Normal       cfg(unix)
js-sys->once_cell                                  1.21.3               Removed             Removed              Normal       ---
js-sys->wasm-bindgen                               0.2.108              0.2.125             0.2.125              Normal       ---
js-sys->wasm-bindgen                               0.2.108              0.2.125             Removed              Normal       ---
js-sys->wasm-bindgen                               0.2.108              Removed             Removed              Normal       ---
khronos-egl->libc                                  0.2.183              0.2.186             0.2.186              Normal       ---
khronos-egl->pkg-config                            0.3.32               0.3.33              0.3.33               Build        ---
libredox->bitflags                                 2.10.0               2.13.0              2.13.0               Normal       ---
libredox->libc                                     0.2.183              0.2.186             0.2.186              Normal       ---
libredox->redox_syscall                            0.7.3                0.8.1               0.8.1                Normal       ---
libudev->libc                                      0.2.183              0.2.186             0.2.186              Normal       ---
libudev-sys->libc                                  0.2.183              0.2.186             0.2.186              Normal       ---
libudev-sys->pkg-config                            0.3.32               0.3.33              0.3.33               Build        ---
mach2->libc                                        0.2.183              0.2.186             0.2.186              Normal       cfg(any(target_os = "macos", target_os = "ios"))
malloc_buf->libc                                   0.2.183              0.2.186             Removed              Normal       ---
memmap2->libc                                      0.2.183              0.2.186             0.2.186              Normal       cfg(unix)
memoffset->autocfg                                 1.5.0                1.5.1               1.5.1                Build        ---
memoffset->autocfg                                 1.5.0                1.5.1               Removed              Build        ---
metal->bitflags                                    2.10.0               2.13.0              Removed              Normal       ---
metal->block                                       0.1.6                ---                 Removed              Normal       ---
metal->core-graphics-types                         0.2.0                ---                 Removed              Normal       ---
metal->foreign-types                               0.5.0                ---                 Removed              Normal       ---
